epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
10,24.1162,0.15257,2.39069,0.77235,0.00239,0.375,0.0022,0.00211,0.37062,3.70377,0.7789,0.0917396,0.00073962,0.00073962
11,26.5147,0.16929,1.91669,0.76888,0.00242,0.375,0.00221,0.00199,0.43135,3.66272,0.78181,0.090802,0.000802,0.000802
12,28.9266,0.25572,1.50077,0.761,0.00242,0.375,0.00221,0.00211,0.34437,3.63133,0.77104,0.0898604,0.00086042,0.00086042
13,31.3577,0.23401,1.32981,0.76165,0.00244,0.375,0.00218,0.00196,0.45666,3.58862,0.78247,0.0889149,0.00091488,0.00091488
14,33.7303,0.26432,1.21603,0.75631,0.00322,0.5,0.01474,0.01465,0.37801,3.54835,0.77482,0.0879654,0.00096538,0.00096538
15,36.1046,0.25331,1.1708,0.75965,0.00323,0.5,0.30193,0.2876,0.39936,3.51006,0.77989,0.0870119,0.00101192,0.00101192
16,38.447,0.2449,1.06492,0.75745,0.00322,0.5,0.4975,0.46003,0.46698,3.51758,0.77997,0.0860545,0.0010545,0.0010545
17,40.7837,0.27841,1.10146,0.75831,0.00324,0.5,0.4975,0.46003,0.44309,3.44815,0.78407,0.0850931,0.00109312,0.00109312
18,43.0722,0.25736,1.03595,0.7577,0.00324,0.5,0.4975,0.46003,0.44309,3.44815,0.78407,0.0841278,0.00112778,0.00112778
19,45.3426,0.25736,1.03595,0.7577,0.00327,0.5,0.4975,0.45186,0.43178,3.43605,0.77987,0.0831585,0.00115848,0.00115848
20,47.6491,0.25973,1.01625,0.75961,0.00327,0.5,0.4975,0.45186,0.43178,3.43605,0.77987,0.0821852,0.00118522,0.00118522
21,49.9775,0.25973,1.01625,0.75961,0.00321,0.5,0.4975,0.45186,0.40022,3.41861,0.77951,0.081208,0.001208,0.001208
22,52.4204,0.26079,0.95795,0.75885,0.00321,0.5,0.4975,0.45186,0.40022,3.41861,0.77951,0.0802268,0.00122682,0.00122682
23,54.7299,0.26079,0.95795,0.75885,0.00321,0.5,0.4975,0.46007,0.46382,3.41891,0.7745,0.0792417,0.00124168,0.00124168
24,56.9915,0.26931,1.00576,0.75804,0.00321,0.5,0.4975,0.46007,0.46382,3.41891,0.7745,0.0782526,0.00125258,0.00125258
25,59.3339,0.26931,1.00576,0.75804,0.00318,0.5,0.4975,0.43528,0.47287,3.36945,0.78369,0.0772595,0.00125952,0.00125952
26,61.6518,0.27077,1.00513,0.76178,0.00318,0.5,0.4975,0.43528,0.47287,3.36945,0.78369,0.0762625,0.0012625,0.0012625
27,63.9783,0.27077,1.00513,0.76178,0.00319,0.5,0.4975,0.45391,0.47178,3.36126,0.78291,0.0752615,0.00126152,0.00126152
28,66.2962,0.24518,0.89014,0.75969,0.00319,0.5,0.4975,0.45391,0.47178,3.36126,0.78291,0.0742566,0.00125658,0.00125658
29,68.6989,0.24518,0.89014,0.75969,0.00323,0.5,0.4975,0.48503,0.3599,3.36403,0.7799,0.0732477,0.00124768,0.00124768
30,71.0242,0.25763,0.84298,0.75957,0.00323,0.5,0.4975,0.48503,0.3599,3.36403,0.7799,0.0722348,0.00123482,0.00123482
